instrs,symbol,has_jal,has_lui_or_gp,has_gte
1,__pure_virtual,0,0,0
1,blockclear,0,0,0
1,intcos,0,0,0
2,func_8005B4C4,0,0,0
2,func_8005F678,0,0,0
2,func_800613C4,0,0,0
2,func_8006D50C,0,0,0
2,func_80072830,0,0,0
2,func_800E80C4,0,0,1
2,func_800F219C,0,0,1
2,func_8010694C,0,0,1
2,restoregp,0,0,0
3,AIInit_Reset1__Fv,0,1,0
3,AIPhysic_ResetCar__FP8Car_tObj,0,0,0
3,AISpeeds_GetNextAICar__FP8Car_tObj,0,0,0
3,CD_set_test_parmnum,0,1,0
3,CallSign__Q26Speech13MobileSpeaker,0,1,0
3,CallSign__Q26Speech15DispatchSpeaker,0,1,0
3,CarObj__Q26Speech13MobileSpeaker,0,0,0
3,CdLastPos,0,1,0
3,Draw_InitViews__Fv,0,1,0
3,Draw_SetDrawSyncCallback__FPFv_v,0,1,0
3,Font_SetBlitter__FPFiiPviiP12charactertbli_v,0,1,0
3,Hud_BustedOverlayOff__Fv,0,1,0
3,IsDisabled__10tPMenuItem,0,0,0
3,NextMenu__24tPMenuItemGoToMenuButton,0,0,0
3,Object_GetNumIMassObjects__Fv,0,1,0
3,PCinit,0,0,0
3,Perp__Q26Speech13MobileSpeaker,0,0,0
3,Physics_SetCurrentWallType__Fi,0,1,0
3,SPCH_SetPreLoadTicks,0,1,0
3,SetDQA,0,0,0
3,SetDQB,0,0,0
3,SetIdlePosition__12AIState_Idlei,0,0,0
3,StartUp__17AIState_Purgatory,0,1,0
3,StatusCount__Q26Speech15DispatchSpeaker,0,0,0
3,StatusSub__Q26Speech15DispatchSpeaker,0,0,0
3,TrsProj_SetTransPrecision__Fi,0,1,0
3,Unit__Q26Speech13MobileSpeaker,0,0,0
3,_padSetAct,0,0,0
3,func_800E6E88,0,0,0
3,func_80100724,0,0,0
3,func_80100730,0,0,0
3,func_8010073C,0,0,0
3,func_8010B100,0,0,0
3,getblocksize,0,0,0
3,iSPCH_ClearChosen,0,1,0
3,restoretextdraw,0,1,0
3,shapecount,0,0,0
4,AI_KeepCarsInLane__FP8Car_tObj,0,0,0
4,CdMode,0,1,0
4,CdStatus,0,1,0
4,ChangeClearPAD,0,0,0
4,ChangeClearRCnt,0,0,0
4,CheckCallback,0,1,0
4,CloseEvent,0,0,0
4,DeliverEvent,0,0,0
4,DisableEvent,0,0,0
4,EnableEvent,0,0,0
4,EnterCriticalSection,0,0,0
4,ExitCriticalSection,0,0,0
4,FlushCache,0,0,0
4,GPU_cw,0,0,0
4,HookEntryInt,0,0,0
4,InitHeap,0,0,0
4,OpenEvent,0,0,0
4,PCclose,0,0,0
4,ReadInitPadFlag,0,1,0
4,ResetEntryInt,0,0,0
4,ReturnFromException,0,0,0
4,SetGeomScreen,0,0,0
4,SetSp,0,0,0
4,StartCARD2,0,0,0
4,StopCARD2,0,0,0
4,SysDeqIntRP,0,0,0
4,SysEnqIntRP,0,0,0
4,TestEvent,0,0,0
4,Texture_ResetPaletteSharing__Fv,0,1,0
4,Track_SetTrackNumber__Fi,0,1,0
4,TrsProj_ResetTransPrecision__Fv,0,1,0
4,UserFuncInit,0,1,0
4,_bu_init,0,0,0
4,_card_info,0,0,0
4,_card_load,0,0,0
4,_card_write,0,0,0
4,_new_card,0,0,0
4,atoi,0,0,0
4,bzero,0,0,0
4,close,0,0,0
4,erase,0,0,0
4,firstfile2,0,0,0
4,format,0,0,0
4,func_800FDFE4,0,0,0
4,gettick,0,1,0
4,iSPCH_OneChosen,0,1,0
4,initgp,0,1,0
4,lseek,0,0,0
4,memchr,0,0,0
4,memcpy,0,0,0
4,memset,0,0,0
4,nextfile,0,0,0
4,open,0,0,0
4,printf,0,0,0
4,rand,0,0,0
4,read,0,0,0
4,setjmp,0,0,0
4,strcat,0,0,0
4,strchr,0,0,0
4,strcmp,0,0,0
4,strcpy,0,0,0
4,strlen,0,0,0
4,strncmp,0,0,0
4,strncpy,0,0,0
4,strrchr,0,0,0
4,strstr,0,0,0
4,tolower,0,0,0
4,toupper,0,0,0
4,write,0,0,0
5,AudioCmn_InitThunder__Fv,0,1,0
5,CdReadyCallback,0,1,0
5,CdSetDebug,0,1,0
5,CdSyncCallback,0,1,0
5,DsReadyCallback,0,1,0
5,Font_ExitFromGame__Fv,0,1,0
5,Font_ReSetBlitter__Fv,0,1,0
5,GetStatus__10AnimScript,0,0,0
5,IsEnabled__10tPMenuItem,0,0,0
5,MemCardCallback,0,1,0
5,Platform_ResetDCTBuffer__Fv,0,1,0
5,Scene_Init__Fi,0,1,0
5,SetVideoMode,0,1,0
5,SimQueue_CleanUp__Fv,0,1,0
5,Skidmark_RestartSkidmark__Fv,0,1,0
5,TextureProcess_Init__Fv,0,1,0
5,Value__14tPListIterator7tPlayer,0,0,0
5,VectorNormalS,0,0,0
5,funcEvSpError,0,1,0
5,funcEvSpErrorx,0,1,0
5,funcEvSpIOE,0,1,0
5,funcEvSpIOEx,0,1,0
5,funcEvSpNewcard,0,1,0
5,funcEvSpNewcardx,0,1,0
5,funcEvSpTimeout,0,1,0
5,funcEvSpTimeoutx,0,1,0
5,func_800E41FC,0,0,0
5,func_800E6E94,0,0,0
5,func_800EF26C,0,1,0
5,func_80100710,0,0,0
5,func_80105EAC,0,0,0
5,iSNDpacketplayoverhead,0,0,0
5,iSPCH_InitBanks,0,1,0
5,inittextdraw,0,1,0
5,iscurrentthread,0,1,0
5,savegp,0,1,0
6,GetCarBank__Q26Speech13MobileSpeakeri,0,1,0
6,GetFilterLength,0,1,0
6,GetFilterPriority,0,1,0
6,Hud_BTC_BonusTime__Fl,0,1,0
6,Hud_Perp_OverlayOff__Fi,0,1,0
6,Platform_GetDCTBuffer__FiPc,0,1,0
6,SetIntrMask,0,1,0
6,_96_remove,0,0,0
6,_SN_read,0,0,0
6,_SN_write,0,0,0
6,__12AIState_BaseP8Car_tObj,0,1,0
6,func_800EEA64,0,1,0
6,func_800F8E2C,0,1,0
6,func_80100748,0,0,0
6,func_8010B10C,0,0,0
6,func_8010B140,0,0,0
6,iSPCH_InitInGame,0,1,0
6,puts,0,0,0
7,AIScript_GetReactionTicksLeft__FP10AIScript_t,0,0,0
7,Anim_GetAnim__Fi,0,1,0
7,CD_Stopread,0,1,0
7,GetCarBank__Q26Speech15DispatchSpeakeri,0,1,0
7,Souffle_RestartTrackSouffle__Fv,0,1,0
7,__10tPMenuItemUi,0,1,0
7,__14tPListIteratorPsPi,0,1,0
7,func_800E6EA8,0,0,0
7,func_800EE9C8,0,1,0
7,func_80100760,0,0,0
7,func_80105C5C,0,0,0
7,func_8010B124,0,0,0
7,iSNDstreamgetstreamptr,0,1,0
7,stup0,1,0,1
8,AIHigh_Restart1__Fv,1,0,0
8,AILife_IsCarInAnyVisibleArea__FP8Car_tObj,1,0,0
8,AISpeeds_CalcHumanTopSpeed__FP8Car_tObj,1,0,0
8,AIState_Restart__Fv,1,0,0
8,AIState_StartUp__Fv,1,0,0
8,AudioClc_SilenceOpponentHorn__Fi,1,0,0
8,AudioCmn_PlayFESFX__Fi,1,0,0
8,BWorldSm_FindClosestQuadMaxIterations__FP8coorddefP12BWorldSm_Posi,1,0,0
8,BWorldSm_Restart__Fv,1,0,0
8,BWorld_DeInitContexts__Fv,1,0,0
8,Cars_CalculateRoadPosition__FP8Car_tObj,1,0,0
8,CdDataSync,1,0,0
8,CdFlush,1,0,0
8,CdGetSector,1,0,0
8,CdGetSector2,1,0,0
8,CdReady,1,0,0
8,CdSync,1,0,0
8,CopSpeak_Debug__Fv,1,0,0
8,CopSpeak_Stop__Fv,1,0,0
8,DashHUD_KillHUD__Fv,1,0,0
8,DecDCTout,1,0,0
8,DrawC_ReadeMapData__Fv,1,0,0
8,FeignAlloc__9SimpleMemi,1,0,0
8,Font_TextTint__Fi,0,1,0
8,GetRezIndex__Fi,0,1,0
8,HandleCops__15AIHigh_BTC_Perp,1,0,0
8,Loading_GetInitialMemory__Fv,1,1,0
8,MemCardEnd,1,0,0
8,PCcreat,0,0,0
8,PCopen,0,0,0
8,PadStartCom,1,0,0
8,PadStopCom,1,0,0
8,R3DCar_InsertCarFacetZ__FP8Car_tObjP13DRender_tView,1,0,0
8,RPause_StartPauseMenu__Fv,1,0,0
8,Render_InitLibRender__Fv,1,0,0
8,Render_InitPauseMenu__Fv,1,0,0
8,Render_KillPauseMenu__Fv,1,0,0
8,Render_StopFrameRender__Fv,1,0,0
8,Render_StopRenderingWorldView__Fi,1,0,0
8,Replay_StoringReplay__Fv,1,1,0
8,SNDSTRM_queuefile,1,0,0
8,SNDbankremove,1,0,0
8,SPCH_ResolveData,1,0,0
8,Scene_DeInit__Fv,1,0,0
8,Sched_CleanUpSchedule__FP15Sched_tSchedule,1,0,0
8,SetDelayedStatus__6SpeechPQ26Speech7Speakeri,0,1,0
8,SetFarColor,0,0,0
8,Speech_HandleRequest__Fllll,1,0,0
8,Speech_PurgeRAM__FPc,1,0,0
8,StSetMask,0,1,0
8,TextSys_WordFlags__Fi,0,1,0
8,TextSys_WordX__Fi,0,1,0
8,TextSys_WordY__Fi,0,1,0
8,TextSys_Word__Fi,0,1,0
8,___10AIHigh_Cop,1,0,0
8,___14AIHigh_BTC_Cop,1,0,0
8,___14AIHigh_Traffic,1,0,0
8,___18AIHigh_BTC_Wingman,1,0,0
8,___19AIHigh_BTC_HumanCop,1,0,0
8,___23AIDataRecord_AccTable_t,1,0,0
8,__builtin_delete,1,0,0
8,__builtin_vec_delete,1,0,0
8,_card_close,1,0,0
8,asyncloadfile,1,0,0
8,asyncloadfileat,1,0,0
8,asyncloadsegment,1,0,0
8,func_8005B468,1,0,0
8,func_8005CB4C,1,0,0
8,func_8006D514,1,0,0
8,func_8006D534,1,0,0
8,func_8006D554,1,0,0
8,func_8006D574,1,0,0
8,func_800EE878,0,1,0
8,func_800F5234,0,0,0
8,func_800F9360,1,0,0
8,func_800FA344,1,0,0
8,func_80105EC0,0,0,0
8,func_80105EE0,0,0,0
8,func_80105F00,0,0,0
8,func_80105F20,0,0,0
8,geti,0,0,0
8,iSNDmeminit,0,1,0
8,iSNDplatformfree,1,0,0
8,iSNDsystemtaskreal,1,0,0
8,loadpackadr,1,0,0
8,setRC2wait,0,1,0
8,textpixels,1,0,0
8,unpack,1,0,0
8,unpacksize,1,0,0
9,AIScript_ClearLastReactionIndex__FP10AIScript_t,0,0,0
9,AudioEng_StartServer__Fv,1,1,0
9,AudioEng_StopServer__Fv,1,1,0
9,AudioMus_InitGlobals__Fv,0,1,0
9,CdDataCallback,1,0,0
9,CdGetToc,1,0,0
9,CheckForWingmanRequest__19AIHigh_BTC_HumanCop,0,0,0
9,DashHUD_ToggleHud__Fi,0,1,0
9,DeInitArtResources__Fv,1,1,0
9,DecDCToutCallback,1,0,0
9,Draw_DeInitRenderEngine__Fv,1,1,0
9,DsDataCallback,1,0,0
9,Fog_DeInitFogTriggers__Fv,1,1,0
9,HudPmx_Kill__Fv,1,1,0
9,Hud_InitCdPlayer__Fv,0,1,0
9,PClseek,0,0,0
9,TrackSpec_SetUp__Fv,0,1,0
9,__SN_ENTRY_POINT,0,1,0
9,func_800EF248,0,1,0
9,func_800EF338,1,0,0
9,func_800F2E70,0,0,0
9,func_800FE364,0,1,0
9,iSNDpsxdisablespuirq,0,1,0
9,iSNDpsxenablespuirq,0,1,0
9,intarccos,1,0,0
9,locatebigentry,1,0,0
9,resettick,0,1,0
9,restoretimer,1,1,0
10,AIHigh_Restart2__Fv,1,0,0
10,AIPhysic_GearBottomSpeed__FP8Car_tObj6Gear_t,0,0,0
10,AIPhysic_GearInvSpeedRange__FP8Car_tObj6Gear_t,0,0,0
10,AIPhysic_GearTopSpeed__FP8Car_tObj6Gear_t,0,0,0
10,AIWorld_ApxSplineDistance__FiP8Car_tObj,1,0,0
10,AI_ClearLaneMerits__Fv,0,1,0
10,AI_GenericBeginCycle__FP8Car_tObj,1,0,0
10,AudList_PurgeAudio__Fv,1,1,0
10,AudioCmn_ReverbOff__Fv,1,1,0
10,BWorldSm_UForward__FP12BWorldSm_Pos,1,0,0
10,BWorldSm_UNormal__FP12BWorldSm_Pos,1,0,0
10,CarIO_CleanUp__Fv,1,1,0
10,Cars_ResetCarCounters__Fv,0,1,0
10,Device_StartUp__Fv,0,1,0
10,DrawW_ResetAnimationTimer__Fv,0,1,0
10,Draw_DrawDirectScreen__FP8shapetblii,1,0,0
10,Draw_InitLibRender__Fv,1,1,0
10,Draw_SetViewMemBudget__Fii,0,1,0
10,Draw__21tPMenuItemInteractiveb,1,0,0
10,Draw__28tPMenuItemNonInteractiveTextb,1,0,0
10,FindClosestLocationTo__Q26Speech13MobileSpeakeri,1,1,0
10,FindClosestLocationTo__Q26Speech15DispatchSpeakeri,1,1,0
10,Flare_Halo__FP13DRender_tViewiiP8coorddefP15Draw_FlareCache,1,0,0
10,Flare_InitLensFlare__Fv,0,1,0
10,GetVoice__6SpeechP8Car_tObj,1,1,0
10,Input_Fetch__Fi,1,1,0
10,Input_MainExitKey__Fv,0,1,0
10,MEM_infosize,0,1,0
10,Night_CreateNightTable__FiliPA256_A16_Uc,1,0,0
10,Object_DeInitIMassObjectInfo__Fv,1,1,0
10,Object_InitStatus__Fv,0,1,0
10,SNDPKTPLAY_unsafeframesoutstanding,0,1,0
10,SetDrawStp,0,1,0
10,SimQueue_GetCurrentInput__FiP14Input_tResults,0,1,0
10,Skidmark_KillSkidmark__Fv,1,1,0
10,Souffle_KillTrackSouffle__Fv,1,1,0
10,TextSys_LoadWords__Fi,1,1,0
10,TextSys_UnloadWords__Fv,1,1,0
10,Texture_InitMenuTexture__Fv,0,1,0
10,TrgSfx_RestartTrgSfx__Fv,1,0,0
10,___12AIHigh_Human,1,1,0
10,___15AIHigh_Opponent,1,1,0
10,___16AIHigh_BasicPerp,1,1,0
10,___20AIHigh_BTC_HumanPerp,1,1,0
10,___21tPListIteratorIndexed,1,1,0
10,___21tPMenuItemInteractive,1,1,0
10,___23tPMenuItemCommandButton,1,1,0
10,___24tPMenuItemGoToMenuButton,1,1,0
10,___25tPMenuItemLeftRightChoice,1,1,0
10,___25tPMenuItemLeftRightSlider,1,1,0
10,___28tPMenuItemNonInteractiveText,1,1,0
10,___32tPMenuItemLeftRightSliderIndexed,1,1,0
10,__builtin_new,1,0,0
10,__builtin_vec_new,1,0,0
10,_padWaitRXready,0,1,0
10,func_8005B438,1,1,0
10,func_80061348,1,1,0
10,func_80063248,1,1,0
10,func_800EFE0C,1,1,0
10,func_80106924,0,0,0
10,func_80109158,1,1,0
10,func_80109180,1,1,0
10,func_8010CA40,1,1,0
10,iSNDpacketirqcallback,1,0,0
10,iSNDpsxeffectvol,0,1,0
10,iSNDpsxkeyoff,0,1,0
10,iSNDpsxkeyon,0,1,0
10,iSPCH_InitEventDat,0,1,0
10,remapshiftjiscode,0,1,0
10,shapepointer,0,0,0
11,AISpeeds_CleanUp__Fv,1,1,0
11,AudioCmn_PlaySound__Fiiiii,1,1,0
11,AudioCmn_PlayThunder__Fii,0,1,0
11,DrawW_LoadPrecVECTOR__FP12Draw_SVertexP6VECTOR,0,0,0
11,GetTimedAnimPosRot__10AnimScriptP8coorddefP10matrixtdef,1,0,0
11,Hrz_KillHorizon__Fv,1,1,0
11,Hud_BuildSprite2__FP4SPRTiii,1,1,0
11,Hud_InitTables__Fv,0,1,0
11,Hud_Perp_OverlayOn__Fii,0,1,0
11,MemCardInit,1,1,0
11,Newton_FindClosestQuad__FP13BO_tNewtonObj,1,0,0
11,Object_GetAnim__FP13Trk_SimObject,0,1,0
11,Object_GetIMassObjectDimensions__FiP8coorddef,0,1,0
11,Render_InitTrackRenderPostSim__Fv,1,1,0
11,SNDPKTPLAY_overhead,1,0,0
11,SNDSTRM_create,1,0,0
11,SetContext__Fi,0,1,0
11,SetMurderMode__13AIState_Chaseii,0,1,0
11,SimQueue_StartUp__Fv,1,1,0
11,Speech_AllocateRAM__FlPc,1,0,0
11,StopCARD,1,0,0
11,_padSetVsyncParam,0,1,0
11,fixedmult,0,0,0
11,func_800B75CC,0,1,0
11,func_800EFE34,0,0,0
11,func_800F8794,0,0,0
11,func_800F8FCC,1,0,0
11,func_801065F8,0,1,0
11,iFILE_delbigclosecallback,1,0,0
11,iSNDmemconstrain,0,1,0
11,iSNDplatformfxmasterlevel,1,0,0
11,iSPCH_MemFree,1,1,0
11,settrans,0,1,0
11,waitdraw,1,1,0
12,AILife_RCSetSpeeds__FP8Car_tObj,1,0,0
12,AIScript_DoReAction__FP10AIScript_t20AIScript_tAIReaction,0,0,0
12,AddPerp__Q26Speech15DispatchSpeakerP8Car_tObj,0,0,0
12,AudioClc_InitSource__FP16AudioClc_tSourceP8Car_tObj,0,0,0
12,AudioClc_SoundSpeech__Fv,1,0,0
12,BWAllocMem__Fl,1,1,0
12,BworldSm_IsSimQuadValid__FP12BWorldSm_Pos,0,0,0
12,CD_Restore,1,1,0
12,ClearPerp__Q26Speech15DispatchSpeakerP8Car_tObj,0,0,0
12,Clock_SystemCleanUp__Fv,1,1,0
12,CopSpeak_BankVolume__FP17CopSpeak_tRequest,0,1,0
12,CopSpeak_InitRequest__FP17CopSpeak_tRequest,0,0,0
12,DMACallback,1,1,0
12,DecDCTvlcSize,0,1,0
12,DrawC_BuildRenderingData__Fv,1,0,0
12,DrawC_KillRenderingData__Fv,1,1,0
12,FILE_operror,0,1,0
12,FILE_readsync,1,1,0
12,HudOff__14AIHigh_BTC_Cop,1,0,0
12,InitArtResources__Fv,1,1,0
12,InterruptCallback,1,1,0
12,KnownPerp__Q26Speech15DispatchSpeakerP8Car_tObj,0,0,0
12,Platform_InitMemory__Fv,0,1,0
12,ResetCallback,1,1,0
12,ResizeToFit__9SimpleMem,1,0,0
12,SetSemiTrans,0,0,0
12,SetShadeTex,0,0,0
12,StSetRing,1,1,0
12,StartRCnt,0,1,0
12,Texture_KillMenuTexture__Fv,1,1,0
12,TrsProj_SetPsxTransZero__Fv,0,0,0
12,VSyncCallbacks,1,1,0
12,VectorNormal,1,0,0
12,VectorNormalSS,1,0,0
12,_card_open,1,0,0
12,elapsedticks,1,1,0
12,func_800EF308,0,1,0
12,func_80106624,0,0,0
12,func_8010A510,0,0,0
12,iSNDplatformcalcdatarate,0,0,0
12,iSNDserveradd100hzclient,0,1,0
12,iSNDserveraddclient,0,1,0
12,iSPCH_MemAlloc,1,1,0
12,read__FPPcPvi,0,0,0
13,AI_AvoidObjects__FP8Car_tObj,1,1,0
13,AI_GenericEndCycle__FP8Car_tObj,1,0,0
13,BWorld_SetSpikeBelt__Fiii,0,1,0
13,Bullhorn__Q26Speech13MobileSpeaker,1,1,0
13,CV_InitColorVertices__Fv,1,1,0
13,DecDCTReset,1,0,0
13,Draw_DeInitViewsInGame__Fv,0,1,0
13,Get__30AIDataRecord_CurveSpeedTable_ti,0,0,0
13,SNDattributessetdef,0,0,0
13,STREAM_overhead,0,0,0
13,Scene_PurgeScene__Fv,1,1,0
13,TextureProcess_TransColorCheck__FPci,0,0,0
13,VSyncCallback,1,1,0
13,__10AIDelayCarP8Car_tObjT1i,1,0,0
13,__12AIHigh_HumanP8Car_tObj,1,1,0
13,__21tPMenuItemInteractiveUi,1,1,0
13,__28tPMenuItemNonInteractiveTextUi,1,1,0
13,___10tPMenuItem,1,1,0
13,___14AIState_Cruise,1,1,0
13,___14AIState_Normal,1,1,0
13,___14tPListIterator,1,1,0
13,___17AIState_GotoSlice,1,1,0
13,___22ObjectFinishedSignAnim,1,1,0
13,___23ObjectFinishedMultiAnim,1,1,0
13,___6tPMenu,1,1,0
13,_copy_memcard_patch,0,1,0
13,_padInitDirSeq,0,1,0
13,func_8005B490,1,1,0
13,func_8005B4CC,1,1,0
13,func_8005F680,1,1,0
13,func_800613CC,1,1,0
13,func_80072838,1,1,0
13,func_800A6DE0,1,1,0
13,func_800EFAF8,1,1,0
13,func_800F0BC0,0,1,0
13,func_80106500,0,0,0
13,func_8010887C,1,1,0
13,func_801091A8,1,1,0
13,iSNDplatformpacketoverhead,0,1,0
13,iSNDstreamdestroyall,1,0,0
14,AIInit_CleanUp1__Fv,1,0,0
14,AISpeeds_StartUp__Fv,1,1,0
14,AITune_StartUp1__Fv,1,1,0
14,Anim_DeInitSystem__Fv,0,1,0
14,AudioCmn_DeInitAsyncSfx__Fv,1,0,0
14,AudioCmn_InitAsyncSfx__Fv,0,1,0
14,AudioCmn_InitChannelArray__Fv,0,1,0
14,AudioCmn_PlayPauseSound__Fi,1,1,0
14,AudioCmn_PlayWrongWaySFX__Fv,1,1,0
14,BWorldSm_Init__FP5Group,1,1,0
14,BWorld_InitContexts__Fv,0,1,0
14,CalcObjYawAngle__FP8CCOORD16,1,0,0
14,Camera_SetCamera__FP13DRender_tView,1,0,0
14,CopSpeak_GetEnginePatch__Fii,0,1,0
14,Dispatch__6Speech,0,1,0
14,Font_TextColor__Fi,0,1,0
14,GetAngleWind__FP17Souffle_tISouffle,1,0,0
14,GetRCnt,0,1,0
14,MPause_InitMPause__Fv,1,1,0
14,PadSetActAlign,1,1,0
14,Render_CreateViews__Fv,1,0,0
14,SNDplay,1,1,0
14,STREAM_bufferusage,1,0,0
14,STREAM_gettable,1,0,0
14,STREAM_state,1,0,0
14,SetTexWindow,1,0,0
14,Sort__24AITrigger_TriggerManager,1,1,0
14,StartCARD,1,0,0
14,Texture_ColorCarPalette__FPcT0i,0,1,0
14,_padGetActSize,0,0,0
14,addmatrix,0,0,0
14,deltimer,0,1,0
14,fixedinverse,0,0,0
14,func_800FE32C,0,1,0
14,iSNDenteraudio,1,1,0
14,iSNDplatformfxinit,1,1,0
14,iSNDpsxzerospu,0,0,0
14,iSNDsetslot,0,1,0
14,iSNDstreamnumcreated,0,1,0
14,submatrix,0,0,0
15,AILife_PlaceCarAtLocation__FP8Car_tObjiiiii,1,0,0
15,AIPhysic_TargetedGetDesiredVector__FP8Car_tObj,0,0,0
15,AIScript_Startup__FP10AIScript_t,1,0,0
15,AddRecordToCollection__14AIDataRecord_t,0,1,0
15,BankPatch__6SpeechlP8Car_tObj,0,0,0
15,Clear__16AIHigh_BasicPerp,0,0,0
15,CopSpeak_RadioStaticInit__Fv,0,1,0
15,DecDCTinSync,1,0,0
15,Draw_GetDRAWENV__Fii,0,1,0
15,HighExecute__12AIHigh_Human,1,0,0
15,Hrz_CalculateLightning__Fv,1,1,0
15,InitCARD2,0,1,0
15,IsNumChar__Fc,0,0,0
15,MPause_EndPauseMenu__Fv,1,1,0
15,Night_SetPlayerHeadLightColor__Fiii,1,1,0
15,NormalCache_Init__Fv,0,1,0
15,Physics_GetTorque__FP8Car_tObji,0,0,0
15,R3DCar_DeInstantiate3DCar__FP8Car_tObj,1,0,0
15,RemoveChaser__16AIHigh_BasicPerpii7copType,0,0,0
15,RemoveRecordFromCollection__14AIDataRecord_t,0,1,0
15,SetDefDispEnv,0,0,0
15,Speech_Server__Fv,1,0,0
15,TrgSfx_AddCarExtraCheck__Fii,0,1,0
15,_chk_card_event,0,1,0
15,_chk_card_event_x,0,1,0
15,func_800F0CE8,1,1,0
15,func_800FC2F8,0,1,0
15,func_8010911C,1,0,0
15,initjoy,1,1,0
15,locatebigoffset,1,1,0
15,shapename,0,0,0
16,AITune_GetDriveSide__Fv,0,1,0
16,AITune_GetRoughLapTimes__Fv,0,1,0
16,AIWorld_GetProfileMask__Fi,0,0,0
16,AddPrim,0,1,0
16,AllocArtResource__FP18Track_tArtresourcei,1,0,0
16,AudioMus_SetCurrentSongInfo__Fv,1,1,0
16,Force_Pause__Fv,0,1,0
16,GetTPage,0,0,0
16,MPause_KillMPause__Fv,1,1,0
16,MemCardStop,1,1,0
16,MoveAngleWind__FP17Souffle_tISouffle,0,0,0
16,Render_StartFrameRender__Fv,1,0,0
16,SNDSTRM_overheadtap,1,0,0
16,SPCHNFS_D_C_BKUP_REQUEST_DENIED_REPLY,1,0,0
16,SPCH_PlaySpeech,1,0,0
16,Souffle_InitTrackSouffle__Fv,1,1,0
16,Stats_ClearPosition__Fv,0,1,0
16,TrsProj_SetMenuProjection__Fiiii,0,0,0
16,UpdateFreezeModeAndPullOverMode__18AIHigh_BTC_Wingman,0,0,0
16,Weather_GetNewState__Fv,1,0,0
16,__14AIHigh_BTC_CopP8Car_tObji,1,1,0
16,__14AIHigh_TrafficP8Car_tObj,1,1,0
16,_card_clear,1,0,0
16,divu64,0,0,0
16,func_800E5EDC,0,0,0
16,func_800EF280,0,1,0
16,func_800FC334,0,0,0
16,func_800FC810,1,0,0
16,iSNDischanreserved,0,1,0
16,iSNDpsxeffectoff,0,1,0
16,iSNDpsxeffecton,0,1,0
16,iSNDstreamparseend,1,0,0
16,iSPCH_DisposeBanks,1,1,0
16,init_ring_status,0,1,0
16,loadfileadrz,1,1,0
